Query,Response
BOC கிரெடிட் கார்டைப் பெறுவதற்கான குறைந்தபட்சத் தேவை என்ன?, 18 வயதுக்கு மேற்பட்ட மற்றும் நிகர வருமானம் ரூ. 15000 குறைந்தபட்சம் மாதம்.
எனது கிரெடிட் கார்டைப் பெற்றவுடன் அதைப் பயன்படுத்த முடியுமா?, உங்கள் கார்டின் பின்புறத்தில் கொடுக்கப்பட்டுள்ள தொலைபேசி எண்ணில் எங்களைத் தொடர்புகொண்டு உங்கள் கார்டைச் செயல்படுத்த வேண்டும்.
கிரெடிட் கார்டுக்கு நான் ஏன் பின் வைத்திருக்க வேண்டும்?,1. ஏடிஎம்கள் மூலம் பணம் எடுப்பதற்கு 2. கிரெடிட் கார்டு வெளிநாடுகளில் பயன்படுத்தப்படும்போது ​​சில நாடுகளில் கிரெடிட் கார்டு பரிவர்த்தனைகளைச் செயல்படுத்த PIN தேவைப்படுகிறது.
நான் எனது பின்னை மாற்றலாமா?, எந்த BOC ஏடிஎம் மூலமாகவும் உங்கள் பின்னை மாற்றலாம். அவ்வாறு செய்ய நாங்கள் எப்போதும் உங்களுக்கு அறிவுறுத்துகிறோம்.
நான் ஒரு புதிய கிரெடிட் கார்டை காலாவதியாகும் முன் தானாகவே பெறுகிறேனா?, காலாவதியாகும் தேதியிலிருந்து 30 நாட்களுக்கு முன் புதிய கிரெடிட் கார்டைப் பெறுவீர்கள்.
எனது கிரெடிட் கார்டை நான் எங்கே பயன்படுத்தலாம்?,1. வணிகர் விசா  மாஸ்டர்கார்டு அமெக்ஸ் ஆகியவற்றை ஏற்கும் எந்தப் புள்ளியிலும் (POS) 2. ஆன்லைன் கொள்முதல்களுக்கு 3. பணம் எடுப்பதற்கான ஏடிஎம்களில் (உள்ளூரில் அல்லது சர்வதேச அளவில்)
பிற வங்கிகளுக்கு சொந்தமான பிஓஎஸ் இயந்திரங்களில் எனது கிரெடிட் கார்டை நான் பயன்படுத்தலாமா?, ஆம்
CVV எண் என்றால் என்ன அதன் நோக்கம் என்ன?,1. CVV என்பது உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் அச்சிடப்பட்ட 3 இலக்க எண்ணாகும். 2.CVV ஆன்லைனில் வாங்குவதற்கு பயனுள்ளதாக இருக்கும்
எனது கிரெடிட் கார்டு கணக்கின் இருப்பை நான் எவ்வாறு சரிபார்க்கலாம்?, இலங்கை வங்கியிலிருந்து இணைய வங்கி (இ-வங்கி) வசதியைப் பெற்று அட்டைக் கணக்கின் இருப்பை ஆன்லைனில் பார்க்கலாம். ஏதேனும் ஏடிஎம் மூலமாகவும் அல்லது உங்கள் கிரெடிட் கார்டின் பின் பக்கத்தில் உள்ள எண்ணில் எங்களை அழைக்கவும்.
எனது கிரெடிட் வரம்பை நான் எவ்வாறு கூட்டுவது அல்லது குறைப்பது?, 1. அதிகரிக்க எழுத்துப்பூர்வ கோரிக்கையை சமீபத்திய வருமான அறிக்கைகளுடன் கிரெடிட் கார்டு வழங்கும் துறைக்கு சமர்ப்பிக்கவும். 2. குறைக்க கடன் அட்டை வழங்கும் துறைக்கு எழுத்துப்பூர்வ கோரிக்கையை சமர்ப்பிக்கவும்.
எனது BOC கிரெடிட் கார்டு கணக்கை நான் எவ்வாறு மூடுவது?, எங்கள் கிளைகளில் ஒன்றில் எழுத்துப்பூர்வ கோரிக்கையை ஒப்படைக்கவும் அல்லது அனைத்து நிலுவைத் தொகையையும் வட்டியுடன் செலுத்திய பின் எங்களிடம் அனுப்பவும்.
எனது தனிப்பட்ட விவரங்களை எவ்வாறு மாற்றுவது?, மாற்றங்களின் விவரங்களுடன் முறையாக கையொப்பமிடப்பட்ட கடிதத்தை சமர்ப்பிக்கவும்.
எனது BOC கிரெடிட் கார்டு அறிக்கைகளை நான் எவ்வாறு பெறுவது?, மாதாந்திர அறிக்கை அஞ்சல் அல்லது மின்னஞ்சல் வழியாக வழங்கப்படும்.
எஸ்எம்எஸ் விழிப்பூட்டல்களின் நன்மை என்ன?, ஒவ்வொரு பரிவர்த்தனைக்கும் எஸ்எம்எஸ் விழிப்பூட்டல்களைப் பெற உங்கள் மொபைல் எண்ணை எங்களுக்கு வழங்கலாம் இது பரிவர்த்தனைகளின் உண்மைத்தன்மையை சரிபார்க்க உங்களை அனுமதிக்கிறது.
எனது கிரெடிட் கார்டு தொலைந்துவிட்டாலோ அல்லது திருடப்பட்டாலோ நான் என்ன செய்ய வேண்டும்?, இதை நீங்கள் உடனடியாக கார்டு மையம் அல்லது கால் சென்டர் 1975 அல்லது 0112204444 என்ற எண்ணிற்குத் தெரிவிக்க வேண்டும். தொலைந்து போன அல்லது திருடப்பட்ட கார்டுகளைப் புகாரளிக்க உங்கள் கிரெடிட் கார்டு எண்கள் மற்றும் தொலைபேசி எண்களைப் பதிவு செய்யுங்கள். அந்தப் பட்டியலை பாதுகாப்பான இடத்தில் வைக்கவும்.
எனது கிரெடிட் கார்டில் மோசடியான செயல்பாடு இருப்பதாக நான் சந்தேகித்தால் நான் என்ன செய்ய வேண்டும்?, உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் உள்ள எங்கள் கால் சென்டர் எண்ணை உடனடியாக அழைத்து உங்கள் கிரெடிட் கார்டில் சந்தேகத்திற்குரிய பரிவர்த்தனை குறித்து எங்களுக்குத் தெரிவிக்கவும்.
எனது கிரெடிட் கார்டு கணக்கை செலுத்துவதற்கு நான் எப்படி ஒரு நிலையான ஆணையை அமைப்பது?, நீங்கள் எங்களின் எந்த கிளைக்கும் சென்று கணக்கைத் திறக்கலாம் (BOC இன் கணக்கு வைத்திருப்பவர் இல்லையென்றால்). அதன்பிறகு உங்கள் கணக்கிற்கான ஸ்டாண்டிங் ஆர்டர் வசதியை அமைப்பதற்கான ஸ்டாண்டிங் ஆர்டர் கோரிக்கையைச் சமர்ப்பிக்கலாம்.
எனது BOC கிரெடிட் கார்டு சேதமடைந்தால் நான் என்ன செய்வேன்?, உங்கள் கிரெடிட் கார்டின் பின்புறம் அல்லது வழங்கும் துறையின் பின்புறத்தில் கொடுக்கப்பட்டுள்ள எண்ணைப் பயன்படுத்தி எங்கள் அழைப்பு மையத்தைத் தெரிவித்து மாற்று கிரெடிட் கார்டுக்கு கோரிக்கை விடுங்கள்
எனது BOC கிரெடிட் கார்டை நான் வெளிநாடுகளில் பயன்படுத்தலாமா?, ஆம். உங்கள் BOC கிரெடிட் கார்டை விசா மற்றும் மாஸ்டர்கார்டுகளை பேமெண்ட் நெட்வொர்க்குகளாக ஏற்றுக்கொள்ளும் எந்தப் பேமெண்ட் புள்ளியிலும் நீங்கள் பயன்படுத்தலாம்.
எனது BOC கிரெடிட் கார்டை எந்த ஏடிஎம்மிலும் பணம் எடுக்க முடியுமா?, ஆம். உங்கள் BOC கிரெடிட் கார்டைப் பணத்தை எடுக்க விசா மற்றும் மாஸ்டர்கார்டை ஏற்றுக்கொள்ளும் எந்த ATM லும் பயன்படுத்தலாம்
எனது கடவுச்சொல்லை யாரேனும் திருடிவிட்டாலோ அல்லது அதை பயன்படுத்தி மோசடி செய்தாலோ நான் என்ன செய்ய வேண்டும்?, உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் உள்ள எண்ணின் மூலம் உடனடியாக எங்கள் கால் சென்டருக்குத் தெரிவித்து கடவுச்சொல்லை மாற்றவும்.
புதிய டிஜிட்டல் பேங்கிங் பிளாட்ஃபார்மில் உள்நுழைய ஆன்லைன் பேங்கிங்கிற்கு நான் பயன்படுத்திய அதே பயனர் ஐடி மற்றும் கடவுச்சொல்லைப் பயன்படுத்தலாமா?, ஆம். நீங்கள் புதிய ComBank டிஜிட்டல் பிளாட்ஃபார்மிற்கு மாற்றப்பட்டிருந்தால் (பரிமாற்றம் செய்யப்பட்டிருந்தால்) புதிய ComBank டிஜிட்டல் பிளாட்ஃபார்மை அணுக ஆன்லைன் பேங்கிங்கிற்காக நீங்கள் பயன்படுத்தும் அதே பயனர் ஐடி மற்றும் கடவுச்சொல்லைப் பயன்படுத்தலாம்.
நான் ஏற்கனவே ComBank Digital இல் சுயமாகப் பதிவு செய்துள்ளேன். நான் எப்படி உள்நுழைய வேண்டும்?, நீங்கள் ஏற்கனவே ComBank Digital இல் சுயமாகப் பதிவு செய்திருந்தால் ComBank Digital இல் பதிவு செய்யும் போது நீங்கள் உருவாக்கிய பயனர் ஐடி மற்றும் கடவுச்சொல்லைப் பயன்படுத்தவும்.
நீங்கள் உள்ளிட்ட அங்கீகார உறுப்புகளில் ஏதேனும் ஒன்று தவறானது அல்லது உங்கள் கணக்கு பூட்டப்பட்டுள்ளது நான் என்ன செய்ய வேண்டும்?, பயனர் பெயர் மற்றும் கடவுச்சொல் சரியாக உள்ளிடப்பட்டுள்ளதா என்பதை முதலில் சரிபார்க்கவும் (மேல் விசைகள் கீழ் விசைகள்) எ.கா. நீங்கள் முந்தைய ஆன்லைன் வங்கியாக இருந்தால் ComBank டிஜிட்டலுக்கு மேம்படுத்தப்பட்ட பயனர் உங்கள் பயனர் ஐடியை பெரிய எழுத்துக்களில் தட்டச்சு செய்ய வேண்டும் என்றால் உங்கள் பயனர் ஐடி மற்றும் கடவுச்சொல் ஏற்கனவே பயன்படுத்தியதாக நினைவில் இல்லை என்றால் உள்நுழைவதில் சிக்கல் உள்ளதா? செயல்பாடு.
எனது கடவுச்சொல்லை மீட்டமைப்பது எப்படி தடையை நீக்குவது?, ComBank Digital இன் வெப் பதிப்பு மற்றும் மொபைல் ஆப் ஆகிய இரண்டிலும் SelfUnblock வசதி உள்ளது. நீங்கள் www.combankdigital.com இணையதளத்தைப் பார்வையிடலாம் அல்லது உங்கள் மொபைல் பயன்பாட்டைத் திறந்து  உள்நுழைவதில் சிக்கல் உள்ளதா? என்பதைக் கிளிக் செய்யலாம். நீங்கள் ஒரு மொபைல் பயன்பாட்டைப் பயன்படுத்துகிறீர்கள் மற்றும் நீங்கள் ஏற்கனவே பயன்பாட்டில் உள்நுழைந்திருந்தால் முதலில் மற்றொரு பயனருடன் உள்நுழை என்பதைக் கிளிக் செய்யவும்.
எனது மொபைல் எண்ணை மாற்றி புதிய மொபைல் எண்ணை ஆன்லைன் பேங்கிங்கில் பதிவு செய்துள்ளேன். ஆனாலும் எனது புதிய மொபைல் எண்ணுக்கு OTP வரவில்லை. நான் என்ன செய்ய வேண்டும்?, ஆன்லைன் பேங்கிங் தளத்தில் உங்கள் புதிய மொபைல் எண்ணைப் புதுப்பிக்க எழுத்துப்பூர்வ கோரிக்கையை நீங்கள் வழங்கியிருந்தால்  தயவுசெய்து உங்கள் கிளையைத் தொடர்புகொண்டு  ComBank டிஜிட்டல் தளத்தில் புதுப்பிக்கப்பட்ட எண்ணைக் கோரவும்.
சைபர் ரசீதை பதிவிறக்கம் செய்வது எப்படி?, 1. மேல் மெனு பட்டியில் இருந்து SelfManagement க்குச் சென்று ஆன்லைன் செயல்பாட்டைத் தேர்ந்தெடுக்கவும் 2. நீங்கள் விரும்பும் ஆன்லைன் செயல்பாட்டைக் கண்டறிந்து  இணைய ரசீதைப் பதிவிறக்குவதற்கு பரிவர்த்தனையின் முன் உள்ள அம்புக்குறியைக் கிளிக் செய்யவும்.
தொடர்புத் தகவலை எவ்வாறு புதுப்பிப்பது?, உங்கள் தொடர்புத் தகவலை எவ்வாறு புதுப்பிப்பது மற்றும் நீங்கள் வழங்க வேண்டிய ஆவணங்கள் பற்றிய வழிமுறைகளுக்கு உங்கள் கிளையைத் தொடர்பு கொள்ளவும்.
எனது ஆன்லைன் பேங்கிங் தளத்தில் ஏற்கனவே பில்லர்கள் மற்றும் பயனாளிகளை அமைத்துள்ளேன். ComBank Digital இல் அவற்றை எவ்வாறு அணுகுவது?, 1.முன்பு பதிவுசெய்யப்பட்ட பில்லர் விவரங்கள் மற்றும் பயனாளிகள் விவரங்கள் ComBank டிஜிட்டல் தளத்தில் டெம்ப்ளேட்டாகச் சேமிக்கப்பட்டுள்ளன 2. பரிமாற்றக் கொடுப்பனவுகளைத் தேர்ந்தெடுத்து இடமாற்றங்கள் மற்றும் கொடுப்பனவுகளைக் கிளிக் செய்யவும் 3.செலக்ட் பேமென்ட் வகையைக் கிளிக் செய்து தேர்வு செய்யவும் டெம்ப்ளேட் 4. தற்போதுள்ள டெம்ப்ளேட்டைத் தேர்ந்தெடு கீழ்தோன்றும் பட்டியலில் இருந்து விரும்பிய டெம்ப்ளேட்டைத் தேர்ந்தெடுக்க கீழே உருட்டவும்.
நிதி பரிமாற்றத்திற்கான ரசீதை நான் எப்படிப் பெறுவது?, கீழே உள்ள படிகளைப் பின்பற்றவும் 1. லேப்டாப் கம்ப்யூட்டர் அல்லது ரெஸ்பான்சிவ் வெப் சுயநிர்வாகத்தைத் தேர்ந்தெடுத்து ஆன்லைன் செயல்பாட்டைத் தேர்ந்தெடுக்கவும். 2. மொபைல் பயன்பாடுகள் இறங்கும் பக்கத்தில் சுயவிவர ஐகானைத் தேர்ந்தெடுத்து  திரையின் மேற்புறத்தில் உள்ள ஆன்லைன் செயல்பாடு ஐகானைக் கிளிக் செய்யவும்.
எனது தனிப்பட்ட டிஜிட்டல் பேங்கிங் பிளாட்ஃபார்மில் எனது அனைத்து உரிமையாளர் கணக்குகளையும் எவ்வாறு சேர்ப்பது?, ComBank டிஜிட்டல் தளத்தில் உரிமையாளர் கணக்குகளை தனிப்பட்ட கணக்குடன் இணைக்க முடியாது.
ஆன்லைன் வங்கிக்கு நான் எவ்வாறு பதிவு செய்வது?, 1. ஆன்லைனில் பதிவு செய்ய இங்கே கிளிக் செய்யவும். 2.நீங்கள் அருகிலுள்ள NTB கிளைக்குச் சென்று வசதிக்காகக் கோரலாம்.
நான் ஆன்லைன் வங்கிக்கு பதிவு செய்யும் போது என்ன தகவல் தேவை?, 1. பதிவு செய்யப்பட்ட மொபைல் எண் மற்றும் மின்னஞ்சல் முகவரி (வங்கியுடன்) 2. செயலில் உள்ள கணக்குகள் அல்லது முதன்மை கடன் அட்டைகள்
நான் ஆன்லைனில் எவ்வாறு பதிவு செய்வது?, பதிவு செய்ய நேஷன்ஸ் டிரஸ்ட் வங்கியால் வழங்கப்பட்ட உங்கள் டெபிட் கார்டு அல்லது கிரெடிட் கார்டை அதன் பின்னுடன் பயன்படுத்தலாம். இது எந்த தடையும் இல்லாமல் முழு திறனை உங்களுக்கு வழங்கும். உங்கள் கிரெடிட் கார்டின் பின் உங்களுக்கு நினைவில் இல்லை என்றால்  பாதுகாப்புக் குறியீடு மற்றும் கார்டின் காலாவதி தேதியை உள்ளிட்டு பதிவு செய்யலாம். இருப்பினும் இந்த விஷயத்தில் நீங்கள் சொந்த கணக்கு நிதி பரிமாற்றங்கள் மற்றும் விசாரணைகளை மட்டுமே செய்ய முடியும். எங்கள் 24 * 7 வாடிக்கையாளர் சேவை ஹாட்லைனை 094 4711 411 என்ற எண்ணில் அழைப்பதன் மூலம் நேஷன்ஸ் ஆன்லைன் பேங்கிங்கில் உள்ள அனைத்து விருப்பங்களுக்கும் நீங்கள் சுயமாகச் செயல்படலாம்.
ஆன்லைன் வங்கிக்கு ஏதேனும் பதிவு அல்லது சேவைக் கட்டணங்கள் உள்ளதா?, கட்டணத்தைப் பார்க்க இங்கே கிளிக் செய்யவும்.
ஆன்லைன் வங்கியை அணுக நான் எந்த வகையான உலாவிகளைப் பயன்படுத்தலாம்?, 1.சஃபாரி 2.Google Chrome 3.Mozilla Firefox 4.Internet Explorer பதிப்பு 9.0 மற்றும் அதற்கு மேற்பட்டவை
ஆன்லைன் வங்கி பில் கொடுப்பனவுகளில் கிடைக்கும் சேவை வழங்குநர்கள் யார்?, 1. கொழும்பு நீச்சல் கிளப் 2. டயலொக் பிராட்பேண்ட் 3. டயலொக் ஜிஎஸ்எம் 4. டயலொக் டிவி 5. எடிசலாட் 6. ஜேகே பங்கு தரகர்கள்
நிதி பரிமாற்றங்களுக்கான எடிட் பணம் பெறுபவர் விவரங்களை நான் எப்படி நீக்குவது?,நீக்கு எடிட் பணம் பெறுபவர் விவரங்கள் வழிகாட்டுதல்களைப் பார்க்க இங்கே கிளிக் செய்யவும்
தேர்ந்தெடுக்கப்பட்ட தேதிக்கு அல்லது மீண்டும் மீண்டும் பணம் அனுப்புவதற்கான வழிமுறைகளை வழங்க இது என்னை அனுமதிக்கிறதா?, முதன்மை மெனுவில் உள்ள நிலையான அறிவுறுத்தல் (ஒரு முறை மற்றும் தொடர்ச்சியான) விருப்பத்தைப் பயன்படுத்தி அல்லது ஆன்லைனில் காணக்கூடிய விரைவான இணைப்புகளைப் பயன்படுத்தி NTB மற்றும் பிற வங்கிகளுக்கு இடையே நிலையான வழிமுறைகளை வைக்கலாம். வங்கி முகப்புப் பக்கம்.
ஆன்லைன் பேங்கிங் மூலம் எனது கிரெடிட் கார்டை நான் எவ்வாறு செட்டில் செய்வது?, முகப்புப் பக்கத்தில் உள்ள கிரெடிட் கார்டு பேமென்ட்டைப் பயன்படுத்தி NTB வழங்கிய கிரெடிட் கார்டு (பயணி அட்டைகள் தவிர) அல்லது மற்றொரு வங்கியால் வழங்கப்பட்ட கார்டுக்கு கிரெடிட் கார்டு செலுத்துதல்களைச் செய்யலாம்.
ஆன்லைன் பேங்கிங் மூலம் நான் சரிபார்க்கக்கூடிய NTB கிரெடிட் கார்டுகள் என்ன?, 1.அமெரிக்கன் எக்ஸ்பிரஸ் கிரெடிட் கார்டுகள் 2. மாஸ்டர் கிரெடிட் கார்டுகள் 3. டிராவலர் கார்டுகள் 4.துணை அட்டைகள் 5.கார்ப்பரேட் கார்டுகள்
ஆன்லைன் பேங்கிங் மூலம் எனது கடனைத் திருப்பிச் செலுத்தும் அட்டவணை விவரங்களை எவ்வாறு சரிபார்க்கலாம்?, கடனைத் திருப்பிச் செலுத்துவதற்கான அட்டவணை வழிகாட்டுதல்களைக் காண இங்கே கிளிக் செய்யவும்.
எனது கணக்குகளுக்கு புனைப்பெயர்களை வழங்க வழி உள்ளதா?, ஆம். உங்கள் கணக்கை எளிதாக அடையாளம் காண புதிய கணக்கின் பெயரை உருவாக்குவதன் மூலம் உங்கள் ஒவ்வொரு கணக்கு மற்றும் அட்டையையும் தனிப்பயனாக்கலாம். வெளியேறு பொத்தானின் கீழ் எனது சுயவிவரத்தைத் திருத்து விருப்பத்தைத் தேர்ந்தெடுப்பதன் மூலம் நீங்கள் புனைப்பெயரை மாற்றலாம்.
ஆன்லைனில் செலுத்தப்படும் பணம் எவ்வளவு விரைவில் செயல்படுத்தப்படும்?, 2. சொந்தக் கணக்குகள் மற்றும் NTB கணக்குகளுக்கு இடையிலான பரிவர்த்தனைகள் உடனடியாக செய்யப்படும் 3. மற்ற வங்கிகளுக்கு பணம் அனுப்பப்படும் பணம் 3 நிமிடங்களில் பின்வரும் வங்கிகள் மற்றும் நிதி நிறுவனங்களின் பட்டியலில் வரவு வைக்கப்படும் இலங்கை மக்கள் வங்கி கொமர்ஷல் வங்கி
ஆன்லைன் பேங்கிங் மூலம் நான் செலுத்தும் கட்டணங்களுக்கு என்ன ஆதாரம் கிடைக்கும்?, உங்கள் பரிமாற்றத்தை உறுதிசெய்தவுடன் ஆன்லைன் பேங்கிங் உங்களுக்கு தேவையான அனைத்து விவரங்களையும் உள்ளடக்கிய மின்னணு ரசீதை உங்களுக்கு வழங்கும் மற்றும் ரசீது வங்கியில் உங்கள் பதிவு செய்யப்பட்ட மின்னஞ்சல் முகவரிக்கு மின்னஞ்சலில் அனுப்பப்படும்.
தவறான பணம் பெறுபவருக்கு நான் பணம் செலுத்தினால் என்ன செய்வது? நான் கட்டணத்தை ரத்து செய்யலாமா அல்லது நிறுத்தலாமா?, நீங்கள் செலுத்தும் கட்டணங்களை உடனடியாக நிறுத்தவோ அல்லது ரத்து செய்யவோ முடியாது (விதிவிலக்காக வாடிக்கையாளர்கள் திரும்பப் பெறுவதில் கூடுதல் உதவிக்கு தொடர்பு மையத்தை அழைக்கலாம்) வேறு ஏதேனும் திட்டமிடப்பட்ட அல்லது தொடர்ச்சியான கட்டணங்கள் ரத்துசெய்யப்படலாம் அல்லது மாற்றப்படலாம். செயல்முறை தேதிக்கு முன் மாற்றியமைத்தல் அல்லது நிறுத்துதல் விருப்பங்களைப் பயன்படுத்துவதன் மூலம் வழங்கப்பட்டுள்ளது. தொடர்வதற்கு முன் பரிமாற்றத்தின் விவரங்களையும் நீங்கள் சரிபார்க்கலாம். அனைத்து பரிமாற்ற விவரங்களையும் ஒரே திரையில் சரிபார்த்து நீங்கள் விரும்பியபடி பரிமாற்றம் செய்யப்படுவதை உறுதிசெய்வதற்கான இறுதிப் பாதுகாப்பு.
ஆன்லைன் வங்கியைப் பயன்படுத்தி எனது கணக்குகளின் பரிவர்த்தனைகளை நான் எவ்வளவு தூரம் தேட முடியும்?, கடந்த 2 ஆண்டுகளின் பரிவர்த்தனைகளை 7 மாதங்களில் நீங்கள் பார்க்கவும் அணுகவும் முடியும்
எனது உள்நுழைவு ஐடி மற்றும் கடவுச்சொல்லை நான் மாற்றலாமா?, ஆம்  எனது சுயவிவரத்தைத் திருத்து என்பதைத் தேர்ந்தெடுப்பதன் மூலம் உங்களால் முடியும். பின்னர் நீங்கள் பயனர் ஐடியை வேறு சில பயனர்கள் பயன்படுத்தவில்லை எனில் நீங்கள் விரும்பும் ஒன்றிற்கு மாற்றலாம். உங்கள் கடவுச்சொல்லிலும் இதையே செய்யலாம்.
ஆன்லைன் பேங்கிங் மூலம் எனது தொடர்பு விவரங்களை எவ்வாறு புதுப்பிப்பது?, ஆன்லைன் பேங்கிங் பக்கத்தில் வழங்கப்பட்டுள்ள அஞ்சல் பெட்டி விருப்பத்தைப் பயன்படுத்தி உங்கள் தொடர்புத் தகவலை அனுப்பலாம் மற்றும் புதிய விவரங்கள் மூன்று வேலை நாட்களுக்குள் புதுப்பிக்கப்படும்.
நான் ஒரு புதிய கணக்கைத் திறந்தால் அது எனது ஆன்லைன் வங்கி வசதியுடன் எவ்வளவு விரைவில் இணைக்கப்படும்?, திறக்கப்படும் புதிய கணக்குகள் வணிக நாளின் முடிவில் தானாகவே வசதியுடன் இணைக்கப்படும்.
ஆன்லைன் பேங்கிங் வசதி மற்றும் பரிவர்த்தனைகள் குறித்து எனக்கு மேலும் கேள்விகள் மற்றும் விசாரணைகள் இருந்தால் வாடிக்கையாளர் சேவை உதவியை வழங்குகிறீர்களா?, ஆம் 0114711411 என்ற எண்ணிற்கு அழைப்பதன் மூலம் எங்கள் தொடர்பு மையத்தைத் தொடர்புகொள்ளவும் அல்லது ஆன்லைன் வங்கியில் வழங்கப்பட்ட அஞ்சல் பெட்டி விருப்பத்தின் மூலம் எங்களுக்கு மின்னஞ்சல் அனுப்பவும். அருகிலுள்ள NTB கிளைக்குச் செல்வதன் மூலமும் நீங்கள் அவ்வாறு செய்யலாம்.
நிலையான வைப்புத்தொகையைத் திறப்பதற்கான தகுதிகள் என்ன?, 1. செல்லுபடியாகும் தேசிய அடையாள அட்டை (NIC) செல்லுபடியாகும் கடவுச்சீட்டு அல்லது ஓட்டுநர் உரிமத்தை வைத்திருக்கும் 18 வயதுக்கு மேற்பட்ட இலங்கையின் பிரஜை. 2. இலங்கைக்கு வெளியே தற்காலிகமாக வசிக்கும் இலங்கைப் பிரஜை. 3. இரட்டைக் குடியுரிமை பெற்றவர். 4. குடியுரிமை விசா வைத்திருப்பவர்.
நிலையான வைப்புத்தொகையைத் தொடங்கக்கூடிய ஒரு தனிநபரைத் தவிர?, கால வைப்பு கணக்குகளை தனிநபர்கள் தனித்தனியாகவோ அல்லது கூட்டாகவோ திறக்கலாம்  மேலும் இது கூட்டாண்மை நிறுவனங்களான தனியார் மற்றும் பொது வரையறுக்கப்பட்ட நிறுவனங்கள் குறிப்பிடப்பட்ட சங்கங்கள் சங்கங்கள் அறக்கட்டளைகளால் திறக்கப்படலாம்.
தனிநபர்கள் கூட்டு நிலையான வைப்புத்தொகையைத் திறக்க முடியுமா?, ஆம். டெபாசிட் கணக்குகளை ஒரு தனி நபர் தனது சொந்த பெயரில் அல்லது ஒன்றுக்கு மேற்பட்ட தனிநபர்கள் தங்கள் பெயரில் திறக்கலாம்.
கூட்டாக வைத்திருக்கும் நிலையான வைப்புத்தொகைக்கு யார் கணக்கை இயக்க முடியும்?, கூட்டுக் கணக்குகளின் செயல்பாடு ஒன்றுக்கு மேற்பட்ட தனிநபர்களால் தொடங்கப்பட்ட கூட்டுக் கணக்கை  இயக்க வழிமுறைகளின் கீழ் (ஒன்றும்) கூட்டு வைத்திருப்பவர்கள் ஆணைக்கு ஒப்புக் கொண்டால்  ஒரு கூட்டுக் கணக்கை ஒரு கூட்டு வைத்திருப்பவரால் இயக்க முடியும். பார்ட்டி ஆபரேஷன்). ஆணையில் குறிப்பிடப்பட்டுள்ளபடி ஒன்றுக்கு மேற்பட்ட தனிநபர்கள் கூட்டாக இல்லையெனில். கூட்டுக் கணக்கு வைத்திருப்பவர்களின் ஒப்புதலுடன் மட்டுமே இயக்க வழிமுறைகளுக்கான மாற்றம் மாற்றியமைக்கப்படும்.
நான் இலங்கைக்கு வெளியில் வசிக்கும் இலங்கைப் பிரஜை  நான் எப்படி கணக்கை திறப்பது?, தொடர்புடைய ஸ்கேன் செய்யப்பட்ட ஆவணங்களை மின்னஞ்சல் மூலம் நீங்கள் அனுப்பலாம் மற்றும் இலங்கையில் உள்ள எங்களின் நியமிக்கப்பட்ட வங்கிக் கணக்கிற்கு பணத்தை மாற்றலாம். அசல் ஆவணங்கள் பின்னர் எங்களிடம் சமர்ப்பிக்கப்பட வேண்டும்.
பவர் ஆஃப் அட்டர்னி வைத்திருப்பவர் டெபாசிட் விண்ணப்பப் படிவத்தில் கையெழுத்திட முடியுமா?, ஆம். கணக்கைத் திறக்கும் போது  ​​அசல் பவர் ஆஃப் அட்டர்னி நகலுடன் சமர்ப்பிக்கப்பட வேண்டும்.
ஒரு நிலையான வைப்புத்தொகையைத் திறக்கத் தேவையான ஆவணங்கள் என்ன?, 1. தனிநபர்களுக்கு முறையாக பூர்த்தி செய்யப்பட்ட வைப்பு விண்ணப்ப நகல்  டிரைவிங் லைசென்ஸ் செல்லுபடியாகும் பாஸ்போர்ட் நகலின் NIC நகலின்  வைப்புத்தொகையாளரின் முகவரி NIC யிலிருந்து வேறுபட்டிருந்தால்  ஒரு பயன்பாட்டு மசோதா அல்லது வங்கி அறிக்கையின் நகல். வைப்புத் தேதியிலிருந்து 3 மாதங்களுக்குள் வழங்கப்பட்ட வைப்புதாரரின் தற்போதைய முகவரி மற்றும் ஒரு KYC படிவம் (உங்கள் வாடிக்கையாளரை அறிந்து கொள்ளுங்கள்) 2. மற்றவர்களுக்கு முறையாக பூர்த்தி செய்யப்பட்ட டெபாசிட் விண்ணப்ப நகல்  நிறுவனத்தின் KYC படிவத்தின் பதிவுக்கான இயக்குநர்களின் NICகளின் நகல்கள் அங்கீகரிக்கப்பட்ட கையொப்பமிடுபவர்கள் மற்றும் அவர்களின் தனிநபர்கள் KYC ஆனது HNB FINANCE உடன் நிலையான வைப்புத்தொகையை வைப்பதற்கான முடிவை உறுதிப்படுத்தும் தீர்மானங்களை நிமிடங்களை உருவாக்குகிறது. விண்ணப்ப படிவத்தில் குறிப்பிடப்பட்டுள்ளபடி பிற தொடர்புடைய ஆவணங்கள் பெறப்பட வேண்டும்.
